date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,12005.0,CS100010,29.0,3.0,1749.0,10902762.413793104,12653.0,37.0,327.0,1730.0,2979,9290,9290,586.0,433.0,261337529.0,841,12795870421,9290,123,-0.5725388255311472,Not_Good
201606.0,12014.0,CS100010,31.0,3.0,1693.0,8969819.516129032,9634.0,465.0,1182.0,9401.0,2872,9698,9698,768.0,460.0,339191883.0,823,12856273763,9698,136,-0.19769462037159283,Not_Good
201606.0,12015.0,CS100010,70.0,4.0,2597.0,14157224.728571428,44349.0,147.0,1808.0,15782.0,12943,17008,17008,114.0,0.0,0.0,548,8049812268,17008,218,0.22003735502146696,Good
201606.0,12017.0,CS100010,34.0,3.0,1675.0,8493102.323529411,11284.0,371.0,860.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117,-0.11118627704365706,Not_Good
201606.0,12024.0,CS100010,79.0,9.0,2999.0,10026044.303797467,32190.0,151.0,2154.0,9710.0,10673,16228,16228,762.0,263.0,359893061.0,642,8962292853,16228,203,-0.05457440591247312,Not_Good
201606.0,12025.0,CS100010,34.0,4.0,1675.0,8493102.323529411,11284.0,83.0,1771.0,6240.0,4855,9198,9198,862.0,1001.0,115470128.0,758,9818515275,9198,126,-0.11497795042349823,Not_Good
201606.0,12032.0,CS100010,59.0,5.0,2333.0,4055352.5593220335,8397.0,58.0,237.0,2323.0,5247,18462,18462,1715.0,494.0,638948117.0,645,9408488599,18462,166,-0.5026272977892013,Not_Good
201606.0,12033.0,CS100010,60.0,2.0,2380.0,4950608.866666666,14361.0,316.0,298.0,2724.0,3605,12161,12161,731.0,419.0,254526645.0,682,9835998735,12161,112,-0.24564073630303612,Not_Good
201606.0,12034.0,CS100010,79.0,2.0,2976.0,4059056.253164557,15096.0,37.0,37.0,2771.0,4198,13444,13444,1598.0,416.0,517464486.0,643,11700793765,13444,158,-0.5683167302911603,Not_Good
201606.0,12035.0,CS100010,59.0,11.0,2304.0,4363868.203389831,9699.0,209.0,800.0,4883.0,5658,18975,18975,1684.0,585.0,779274290.0,706,13244086092,18975,227,-0.532454055236029,Not_Good
201606.0,12042.0,CS100010,33.0,3.0,1823.0,5677100.878787879,7765.0,52.0,286.0,4380.0,6562,6940,6940,1079.0,357.0,433981198.0,740,9666336784,6940,79,-0.46411153829608764,Not_Good
201606.0,12043.0,CS100010,155.0,2.0,5654.0,9980537.361290324,93357.0,53.0,377.0,4689.0,6519,20475,20475,751.0,368.0,284935032.0,788,10934709999,20475,217,-0.26808527767741097,Not_Good
201606.0,12044.0,CS100010,84.0,7.0,2901.0,10678196.285714284,71961.0,117.0,953.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117,-0.40877658894816704,Not_Good
201606.0,12047.0,CS100010,124.0,1.0,3766.0,10619666.556451613,87728.0,196.0,305.0,3644.0,6371,21878,21878,1514.0,559.0,612203668.0,790,11857001987,21878,218,-0.1983034388297468,Not_Good
201606.0,12048.0,CS100010,148.0,9.0,5188.0,9925755.25,90634.0,305.0,3497.0,8993.0,5622,18771,18771,766.0,430.0,292054809.0,784,10337554010,18771,181,0.06269695358197074,Good
201606.0,12050.0,CS100010,126.0,6.0,4534.0,10592433.801587302,87068.0,156.0,458.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221,-0.5416542933024503,Not_Good
201606.0,12051.0,CS100010,6.0,3.0,576.0,22998339.0,5762.0,184.0,3332.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92,1.0092396135929016,Very_Good
201606.0,12052.0,CS100010,147.0,1.0,5464.0,10299026.319727892,93551.0,9.0,340.0,2710.0,4961,16327,16327,897.0,499.0,412618032.0,848,9960159757,16327,167,-0.23171713993049436,Not_Good
201606.0,12053.0,CS100010,31.0,3.0,1585.0,5777397.419354837,6702.0,106.0,64.0,11299.0,6345,8427,8427,1905.0,563.0,852123468.0,731,12294199885,8427,92,-0.56694885335792,Not_Good
201606.0,12054.0,CS100010,140.0,9.0,4459.0,10751648.214285716,93052.0,534.0,748.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170,-0.5308773831059238,Not_Good
201606.0,12056.0,CS100010,24.0,3.0,1554.0,7097441.0,6444.0,75.0,647.0,17485.0,7333,7059,7059,727.0,653.0,233135297.0,735,10483142394,7059,77,-0.5183804213078466,Not_Good
201606.0,12058.0,CS100010,13.0,3.0,697.0,6620689.230769231,7692.0,147.0,919.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61,-0.41534060156968955,Not_Good
201606.0,12059.0,CS100010,45.0,2.0,2289.0,8085059.755555555,10649.0,131.0,555.0,2724.0,3778,17783,17783,2333.0,1188.0,1126170263.0,913,13113993539,17783,170,-0.3925191119777035,Not_Good
201606.0,12067.0,CS100010,104.0,4.0,4252.0,9495966.567307692,41581.0,62.0,1687.0,6276.0,6178,13862,13862,375.0,336.0,179375824.0,818,12387406791,13862,218,-0.4950519581566854,Not_Good
201606.0,12070.0,CS100010,103.0,10.0,3734.0,9378164.54368932,40440.0,529.0,1807.0,5533.0,4541,14039,14039,1265.0,490.0,712057577.0,703,16404380289,14039,239,-0.26302248578489085,Not_Good
201606.0,12071.0,CS100010,41.0,7.0,2113.0,8782335.390243903,10460.0,297.0,209.0,3171.0,3972,17526,17526,1764.0,645.0,483971275.0,960,10968876318,17526,161,-0.5729813315414036,Not_Good
201606.0,12072.0,CS100010,100.0,1.0,3479.0,9583401.65,38910.0,66.0,642.0,3078.0,6372,11795,11795,914.0,419.0,310526206.0,805,11934215958,11795,190,0.27970854738896667,Good
