date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,12044.0,도봉로_N,CS100002,중국집,12.0,1.0,561.0,15.38,25.0,100.0,71.43,11.11,17223122.333333332,10942.0,231.0,0.0,0.0,0.0,0.0,100.0,15567478.0,987.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117
201606.0,12050.0,노해로17길,CS100002,중국집,18.0,1.0,858.0,16.0,12.5,28.57,30.0,36.36,27257666.222222224,22567.0,2.0,0.0,0.0,0.0,0.0,50.0,49666667.0,1126.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221
201606.0,12051.0,동일로203가길,CS100002,중국집,6.0,1.0,725.0,100.0,100.0,0.0,50.0,66.67,25857944.66666667,6758.0,89.0,0.0,0.0,0.0,100.0,0.0,58230330.0,3239.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92
201606.0,12053.0,덕릉로57길,CS100002,중국집,5.0,1.0,235.0,20.0,20.0,50.0,50.0,14.29,15013823.6,4576.0,94.0,0.0,0.0,0.0,0.0,33.33,22529678.0,1367.0,11299.0,6345,8427,8427,1905.0,563.0,852123468.0,731,12294199885,8427,92
201606.0,12054.0,한천로140길,CS100002,중국집,16.0,1.0,691.0,18.75,25.0,33.33,55.56,26.67,22812950.5625,18132.0,3.0,20.0,50.0,0.0,0.0,0.0,851457.0,81.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170
201606.0,12058.0,석계로_A,CS100002,중국집,4.0,1.0,410.0,20.0,50.0,0.0,33.33,50.0,47192042.75,12153.0,115.0,0.0,0.0,0.0,0.0,100.0,31042403.0,2491.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61
201606.0,12070.0,통일로87길,CS100002,중국집,11.0,2.0,1503.0,30.77,20.0,0.0,44.44,36.36,34504615.72727273,20980.0,216.0,0.0,0.0,0.0,100.0,0.0,24657246.0,2226.0,5533.0,4541,14039,14039,1265.0,490.0,712057577.0,703,16404380289,14039,239
201606.0,12074.0,솔샘로67길,CS100002,중국집,11.0,1.0,658.0,9.09,33.33,0.0,57.14,45.45,18719812.363636363,13072.0,20.0,0.0,100.0,0.0,0.0,0.0,30166615.0,2209.0,3301.0,2779,15347,15347,1397.0,1569.0,533188053.0,697,15236045640,15347,135
201606.0,12084.0,동일로197길,CS100002,중국집,4.0,2.0,386.0,0.0,0.0,0.0,0.0,57.14,28182785.0,4731.0,134.0,0.0,0.0,0.0,0.0,100.0,21172234.5,1091.0,8686.0,4716,6030,6030,530.0,652.0,43966894.0,812,5868130775,6030,118
201606.0,12085.0,도봉로_Q,CS100002,중국집,10.0,2.0,855.0,5.56,50.0,0.0,20.0,54.55,15777200.6,9388.0,147.0,0.0,0.0,0.0,0.0,66.67,8101117.5,1096.0,6139.0,3445,15437,15437,2586.0,426.0,969835838.0,718,12872025432,15437,147
201606.0,12090.0,월계로_A,CS100002,중국집,7.0,1.0,873.0,18.75,30.0,42.86,50.0,30.0,44873464.0,15640.0,24.0,0.0,0.0,0.0,100.0,50.0,7125786.0,340.0,5209.0,4574,16488,16488,730.0,327.0,248436361.0,738,6582411370,16488,232
201606.0,12093.0,서오릉로_A,CS100002,중국집,10.0,1.0,1092.0,37.5,33.33,50.0,40.0,30.0,15805789.0,8440.0,24.0,0.0,0.0,0.0,0.0,0.0,17149270.0,639.0,6690.0,4000,12280,12280,1505.0,705.0,915418273.0,884,21153936540,12280,159
201606.0,12113.0,통일로73길,CS100002,중국집,10.0,2.0,1512.0,50.0,100.0,100.0,100.0,45.45,21589518.9,12644.0,307.0,0.0,0.0,100.0,0.0,50.0,14525581.0,1694.0,3086.0,5595,10286,10286,1319.0,520.0,581478088.0,675,14289709758,10286,154
201606.0,12114.0,연서로26길,CS100002,중국집,13.0,1.0,1645.0,50.0,0.0,66.67,50.0,45.45,25498286.84615385,17459.0,29.0,0.0,0.0,0.0,0.0,100.0,36862671.0,1997.0,8082.0,6974,14966,14966,1203.0,479.0,543443371.0,751,14229742443,14966,210
201606.0,12116.0,도봉로10다길,CS100002,중국집,8.0,1.0,719.0,15.79,33.33,25.0,75.0,33.33,34482791.75,13764.0,120.0,0.0,100.0,0.0,0.0,0.0,68260660.0,1541.0,7705.0,3724,13459,13459,1662.0,344.0,598427176.0,504,7715291954,13459,255
201606.0,12121.0,연서로27길,CS100002,중국집,9.0,2.0,1520.0,50.0,28.57,25.0,33.33,36.36,34454560.222222224,16833.0,185.0,33.33,0.0,0.0,0.0,100.0,22046435.0,2529.0,4139.0,6556,16054,16054,1990.0,600.0,1021791546.0,1074,17537273282,16054,221
201606.0,12124.0,석계로9길,CS100002,중국집,2.0,1.0,268.0,0.0,50.0,66.67,50.0,50.0,31721219.0,4387.0,61.0,0.0,50.0,100.0,0.0,0.0,19823979.0,1563.0,3103.0,3248,6227,6227,655.0,339.0,182743732.0,1021,6881830365,6227,145
201606.0,12130.0,중랑역로_B,CS100002,중국집,12.0,3.0,1084.0,22.22,60.0,33.33,0.0,66.67,14244332.75,9091.0,192.0,0.0,50.0,0.0,0.0,100.0,4254225.666666667,750.0,4222.0,2749,12233,12233,1285.0,2047.0,715206840.0,673,13042631695,12233,118
