date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,12056.0,CS100009,15.0,1.0,420.0,4081702.8,9424.0,59.0,645.0,17485.0,7333,7059,7059,727.0,653.0,233135297.0,735,10483142394,7059,77,-0.3770213100611892,Not_Good
201606.0,12058.0,CS100009,15.0,2.0,1009.0,10337960.866666667,29839.0,110.0,3183.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61,0.29798059493599083,Good
201606.0,12059.0,CS100009,52.0,3.0,1182.0,6997732.711538463,60542.0,22.0,2035.0,2724.0,3778,17783,17783,2333.0,1188.0,1126170263.0,913,13113993539,17783,170,-0.3977921333038821,Not_Good
201606.0,12063.0,CS100009,52.0,3.0,1401.0,10405324.826923076,76635.0,48.0,3029.0,4736.0,4187,10905,10905,1602.0,621.0,890846724.0,639,17138006307,10905,148,-0.2611033648393988,Not_Good
201606.0,12066.0,CS100009,55.0,2.0,1508.0,12799544.872727273,98473.0,23.0,654.0,4693.0,5410,10729,10729,520.0,509.0,272135195.0,626,14393050515,10729,155,-0.7043925026023996,Not_Good
201606.0,12067.0,CS100009,59.0,2.0,1625.0,12202258.559322033,95095.0,62.0,1040.0,6276.0,6178,13862,13862,375.0,336.0,179375824.0,818,12387406791,13862,218,-0.5813139616373942,Not_Good
201606.0,12070.0,CS100009,57.0,2.0,1641.0,11331694.263157895,92997.0,113.0,14480.0,5533.0,4541,14039,14039,1265.0,490.0,712057577.0,703,16404380289,14039,239,1.7426223654555282,Very_Good
201606.0,12071.0,CS100009,49.0,3.0,1176.0,7389553.918367348,60268.0,374.0,181.0,3171.0,3972,17526,17526,1764.0,645.0,483971275.0,960,10968876318,17526,161,-0.7155251864298562,Not_Good
201606.0,12072.0,CS100009,55.0,1.0,1641.0,13370325.945454545,102287.0,14.0,990.0,3078.0,6372,11795,11795,914.0,419.0,310526206.0,805,11934215958,11795,190,0.06424988873738996,Good
201606.0,12073.0,CS100009,45.0,4.0,1079.0,6478380.0,51336.0,165.0,4988.0,3945.0,3872,16143,16143,2409.0,840.0,743483375.0,949,11246952072,16143,142,0.06531366601188943,Good
201606.0,12075.0,CS100009,44.0,2.0,974.0,8849638.522727273,66960.0,18.0,4299.0,3298.0,4148,10695,10695,2803.0,732.0,549452193.0,728,12120950982,10695,160,1.2697006770911936,Very_Good
201606.0,12076.0,CS100009,42.0,3.0,1159.0,6716609.5,40214.0,94.0,1740.0,5822.0,3895,15404,15404,2316.0,1882.0,712588702.0,869,12751196150,15404,167,-0.41820885640730127,Not_Good
201606.0,12079.0,CS100009,21.0,1.0,593.0,10056230.80952381,31311.0,102.0,6943.0,6471.0,3160,11023,11023,124.0,474.0,40805297.0,832,9984095071,11023,87,4.168103574931702,Very_Good
201606.0,12084.0,CS100009,12.0,3.0,364.0,11759792.916666664,22334.0,109.0,5278.0,8686.0,4716,6030,6030,530.0,652.0,43966894.0,812,5868130775,6030,118,0.22317500591854367,Good
201606.0,12085.0,CS100009,38.0,3.0,983.0,8291391.631578947,49676.0,126.0,3944.0,6139.0,3445,15437,15437,2586.0,426.0,969835838.0,718,12872025432,15437,147,-0.13046172854847812,Not_Good
201606.0,12086.0,CS100009,50.0,7.0,1563.0,8733601.74,73135.0,206.0,16200.0,6505.0,4164,13167,13167,1757.0,681.0,515625640.0,979,12751278567,13167,181,0.6273214034936969,Good
201606.0,12088.0,CS100009,21.0,6.0,544.0,9904466.80952381,30931.0,123.0,8854.0,3364.0,3259,10600,10600,420.0,581.0,180544520.0,828,9507213364,10600,114,0.25180674861404706,Good
201606.0,12090.0,CS100009,49.0,1.0,1240.0,9310804.326530613,63980.0,221.0,72.0,5209.0,4574,16488,16488,730.0,327.0,248436361.0,738,6582411370,16488,232,-0.47997977747359905,Not_Good
201606.0,12091.0,CS100009,25.0,8.0,627.0,7014282.56,25835.0,211.0,5075.0,5985.0,3060,10795,10795,3001.0,2027.0,1432650610.0,909,13015445637,10795,125,-0.4389900478748039,Not_Good
201606.0,12092.0,CS100009,23.0,2.0,525.0,10771796.608695652,36230.0,53.0,8226.0,2786.0,2318,8718,8718,1443.0,433.0,508076897.0,841,9378358503,8718,136,1.6595016069627038,Very_Good
201606.0,12093.0,CS100009,44.0,3.0,1146.0,8902949.977272727,52677.0,33.0,2355.0,6690.0,4000,12280,12280,1505.0,705.0,915418273.0,884,21153936540,12280,159,-0.17164975854356093,Not_Good
201606.0,12103.0,CS100009,21.0,1.0,517.0,6564646.761904762,22090.0,48.0,2580.0,6718.0,3356,8428,8428,1026.0,363.0,348531568.0,955,11806607026,8428,98,0.6538356372267309,Good
