areaCode,doro,gu,dong
13111.0,상도로_I,동작구,상도2동
13112.0,오금로35길,송파구,오금동
13115.0,사평대로55길,서초구,반포1동
13116.0,새말로16길,구로구,구로5동
13118.0,서래로_A,서초구,반포4동
13119.0,상도로_J,동작구,상도1동
13120.0,동남로_A,송파구,오금동
13121.0,삼성로63길,강남구,대치4동
13123.0,여의대방로_C,동작구,신대방2동
13124.0,보라매로_A,동작구,신대방2동
13125.0,서래로_B,서초구,반포4동
13126.0,가락로12길,송파구,석촌동
13127.0,가락로_D,송파구,석촌동
13128.0,송이로_A,송파구,가락본동
13130.0,도곡로_A,강남구,대치2동
13132.0,보라매로_B,동작구,신대방2동
13133.0,상도로37길,동작구,상도1동
13134.0,상도로_K,동작구,상도1동
13136.0,구로동로42길,구로구,구로2동
13137.0,구로동로_A,구로구,구로2동
13139.0,여의대방로24길,동작구,대방동
13140.0,대림로_B,영등포구,대림3동
13145.0,가락로_E,송파구,석촌동
13146.0,여의대방로22길,동작구,대방동
13147.0,거마로_A,송파구,마천2동
13148.0,오금로36길_A,송파구,가락본동
13149.0,역삼로_C,강남구,역삼2동
13152.0,삼성로64길,강남구,대치2동
13153.0,오금로36길_B,송파구,가락본동
13154.0,백제고분로32길,송파구,삼전동
13155.0,사평대로,서초구,반포4동
13156.0,송파대로37길,송파구,석촌동
13157.0,성대로1길,동작구,상도4동
13158.0,경서로,구로구,개봉1동
13159.0,대림로_C,영등포구,대림3동
13160.0,백제고분로22길,송파구,삼전동
13162.0,상도로_L,동작구,상도1동
13163.0,서초중앙로29길,서초구,반포4동
13168.0,역삼로_D,강남구,대치4동
13169.0,언주로_C,강남구,역삼2동
13170.0,신반포로_C,서초구,반포본동
13171.0,삼성로_F,강남구,대치2동
13173.0,신반포로3길,서초구,반포본동
13174.0,백제고분로40길,송파구,석촌동
13175.0,중앙로6길,구로구,고척1동
13176.0,공원로,구로구,구로5동
13177.0,가마산로_A,영등포구,대림3동
13180.0,삼학사로_B,송파구,삼전동
13182.0,백제고분로34길,송파구,석촌동
13183.0,백제고분로_J,송파구,삼전동
13184.0,송이로17길,송파구,가락본동
13185.0,구로중앙로14길,구로구,구로4동
13186.0,개봉로17길,구로구,개봉2동
13187.0,동남로18길_A,송파구,가락2동
13188.0,오금로_A,송파구,거여1동
13189.0,부일로15길,구로구,수궁동
13190.0,언주로_D,강남구,역삼2동
13192.0,오금로46길_A,송파구,가락2동
13194.0,도곡로_C,강남구,역삼2동
13195.0,도림로_B,영등포구,대림2동
13198.0,거마로_C,송파구,거여1동
13199.0,오류로8길_A,구로구,오류2동
13202.0,오류로8길_B,구로구,오류2동
13204.0,중대로12길,송파구,가락본동
13205.0,오금로46길_B,송파구,가락2동
13206.0,방배로42길,서초구,방배본동
13207.0,개봉로20길,구로구,개봉3동
13208.0,상도로61길,동작구,상도1동
13209.0,마천로_B,송파구,마천1동
13212.0,마천로41길_A,송파구,마천2동
13213.0,대림로29길,영등포구,대림3동
13216.0,대림로_D,영등포구,대림3동
13217.0,서초중앙로24길,서초구,서초4동
13222.0,중대로9길,송파구,가락본동
13223.0,경인로_D,구로구,오류1동
13224.0,오금로_B,송파구,가락2동
13225.0,역삼로_E,강남구,역삼2동
13227.0,구일로10길,구로구,구로1동
13228.0,동작대로,서초구,방배본동
13229.0,서래로_D,서초구,반포4동
13231.0,마천로41길_B,송파구,마천2동
13232.0,상도로_N,동작구,상도1동
13233.0,논현로72길,강남구,역삼2동
13236.0,삼성로57길,강남구,대치1동
13237.0,방배중앙로25길,서초구,방배본동
13238.0,남부순환로97길,구로구,개봉2동
13239.0,마천로45길,송파구,마천2동
13240.0,선릉로_C,강남구,역삼2동
13241.0,개봉로23가길,구로구,개봉1동
13242.0,거마로20길,송파구,마천2동
13243.0,대림로27가길,영등포구,대림3동
13245.0,마천로41길_C,송파구,마천1동
13247.0,디지털로31길,구로구,구로3동
13250.0,신대방1가길,동작구,신대방1동
13251.0,대림로_E,동작구,신대방1동
13253.0,서초대로25길,서초구,방배4동
13254.0,개포로_B,강남구,개포2동
13255.0,양재대로55길,강남구,일원1동
13256.0,동남로_C,송파구,문정1동
13257.0,봉천로_A,관악구,보라매동
13258.0,언주로30길_A,강남구,도곡2동
13259.0,언주로30길_B,강남구,도곡2동
13260.0,방배로_B,서초구,방배4동
13261.0,구로동로_C,구로구,구로4동
13264.0,일원로9길,강남구,일원1동
13265.0,대림로_F,영등포구,대림2동
13267.0,동남로6길_A,송파구,문정1동
13268.0,보라매로_C,관악구,보라매동
13269.0,동작대로29나길,동작구,사당2동
13270.0,일원로,강남구,일원1동
13272.0,시흥대로_B,동작구,신대방1동
13273.0,동광로_A,서초구,방배4동
13274.0,오금로_C,송파구,거여2동
13275.0,시흥대로_C,영등포구,대림1동
13276.0,당곡길,관악구,보라매동
13277.0,일원로3길,강남구,일원1동
13278.0,구로동로_D,구로구,구로2동
13281.0,구로동로26길_A,구로구,구로4동
13284.0,신대방길,동작구,신대방1동
13286.0,구로동로26길_B,구로구,구로4동
13287.0,방배로_C,서초구,방배4동
13290.0,구로동로28길_A,구로구,구로4동
13291.0,오류로8길_C,구로구,오류2동
13294.0,동남로18길_B,송파구,가락2동
13296.0,디지털로53길,영등포구,대림2동
13300.0,구로동로28길_B,구로구,구로2동
13301.0,구로동로22길,구로구,구로4동
13303.0,남부순환로333길,서초구,서초1동
13305.0,서초대로24길,서초구,방배1동
13307.0,사당로_B,동작구,사당3동
13308.0,행운1길,관악구,행운동
13309.0,남부순환로_C,관악구,신사동
13310.0,사당로_C,동작구,사당5동
13311.0,난곡로_A,관악구,신사동
13314.0,관악로_A,관악구,중앙동
13315.0,사당로16가길_A,동작구,사당4동
13316.0,도구로,서초구,방배4동
13317.0,도림로_F,구로구,구로4동
13321.0,논현로28길,강남구,도곡2동
13323.0,구로동로_E,구로구,가리봉동
13328.0,개봉로3길_A,구로구,개봉3동
13329.0,개봉로3길_B,구로구,개봉3동
13330.0,동남로4길_A,송파구,문정1동
13334.0,언주로30길_C,강남구,도곡2동
13335.0,반포대로_B,서초구,서초3동
13336.0,방배로_D,서초구,방배1동
13337.0,신림동7길,관악구,신림동
13339.0,동남로4길_B,송파구,문정1동
13340.0,봉천로6길,관악구,신림동
13341.0,송이로31길,송파구,장지동
13343.0,개포로82길,강남구,개포2동
13348.0,개봉로3길_C,구로구,개봉3동
13351.0,동남로6길_B,송파구,문정1동
13353.0,개봉로11길,구로구,개봉3동
13354.0,방배로27길,서초구,방배4동
13355.0,바우뫼로37길,서초구,양재1동
13357.0,새말로8길,송파구,장지동
13359.0,남부순환로_E,관악구,행운동
13360.0,남부순환로_F,금천구,독산3동
13361.0,바우뫼로_A,서초구,양재1동
13362.0,쑥고개로_A,관악구,청룡동
13363.0,디지털로_A,구로구,가리봉동
13367.0,방배천로6길,서초구,방배2동
13373.0,쑥고개로11길,관악구,청룡동
13375.0,조원로2길,관악구,조원동
13376.0,사당로30길,동작구,사당1동
13377.0,조원중앙로2길,관악구,조원동
13378.0,송이로36길,송파구,장지동
13379.0,방배천로16길,서초구,방배2동
13380.0,시흥대로_E,관악구,조원동
13381.0,서부샛길,금천구,가산동
13382.0,논현로26길,강남구,도곡2동
13383.0,논현로_D,서초구,양재1동
13384.0,남부순환로_K,관악구,신사동
13385.0,강남대로30길,서초구,양재1동
13386.0,선릉로_D,강남구,개포2동
13387.0,디지털로_B,구로구,가리봉동
13389.0,신원로3길,관악구,신원동
13390.0,난곡로_D,관악구,조원동
13391.0,새말로17길,송파구,장지동
13395.0,반포대로_C,서초구,서초3동
13396.0,사당로16길_A,동작구,사당4동
13397.0,남부순환로_M,관악구,조원동
13401.0,봉천로_C,관악구,은천동
13403.0,남부순환로161가길,관악구,신사동
13404.0,사당로16가길_B,동작구,사당4동
13407.0,사당로_E,동작구,사당3동
13410.0,남부순환로_O,서초구,양재1동
13411.0,반포대로_D,서초구,서초3동
13413.0,조원로16길,관악구,조원동
13414.0,우마길,구로구,가리봉동
13415.0,난우길,관악구,미성동
13418.0,논현로10길,강남구,개포4동
13419.0,독산로85길,금천구,독산3동
13420.0,마방로6길,서초구,양재2동
13421.0,난곡로_F,관악구,미성동
13422.0,남부순환로248길,관악구,인헌동
13423.0,난곡로_G,관악구,난곡동
13424.0,시흥대로148길,금천구,독산3동
13425.0,시흥대로138길,금천구,독산3동
13426.0,난곡로_H,관악구,난곡동
13427.0,법원단지길,관악구,난곡동
13428.0,가산로3길,금천구,독산1동
13429.0,인헌길,관악구,인헌동
13430.0,낙성대역길,관악구,인헌동
13431.0,관악로14길,관악구,낙성대동
13432.0,동작대로7길,동작구,사당1동
13434.0,남부순환로_P,관악구,낙성대동
13435.0,양재천로,서초구,양재1동
13437.0,남부순환로_Q,관악구,남현동
13438.0,남현길,관악구,남현동
13439.0,신림로_A,관악구,서림동
13440.0,방배로_E,서초구,방배3동
13441.0,시흥대로153길,금천구,가산동
13444.0,개포로22길,강남구,개포4동
13445.0,남부순환로_R,동작구,사당1동
13448.0,가산로_A,금천구,가산동
13450.0,개포로15길,강남구,개포4동
13451.0,시흥대로151길,금천구,독산1동
13452.0,낙성대로,관악구,낙성대동
13453.0,바우뫼로_B,서초구,양재1동
13459.0,독산로64길,금천구,독산2동
13461.0,강남대로8길,서초구,양재2동
13462.0,강남대로10길,서초구,양재2동
13463.0,시흥대로_H,금천구,독산2동
13465.0,대학길,관악구,대학동
13466.0,논현로11길,서초구,양재2동
13467.0,독산로75길,금천구,독산4동
13469.0,신림로11길,관악구,대학동
13470.0,동산로_A,서초구,양재2동
13471.0,강남대로18길,서초구,양재2동
13473.0,독산로_C,금천구,독산4동
13475.0,신림로_B,관악구,서림동
13477.0,마방로2길,서초구,양재2동
13478.0,동산로_B,서초구,양재2동
13479.0,신림로_C,관악구,대학동
13480.0,가산로_B,금천구,독산1동
13481.0,시흥대로122길,금천구,독산4동
13483.0,호암로26길,관악구,대학동
13484.0,독산로_D,금천구,시흥1동
13486.0,독산로39길,금천구,시흥1동
13487.0,시흥대로62길,금천구,시흥1동
13488.0,독산로_E,금천구,시흥4동
13489.0,독산로_F,금천구,독산2동
13491.0,시흥대로_J,금천구,시흥1동
13493.0,금하로_A,금천구,시흥1동
13495.0,금하로24길,금천구,시흥5동
13497.0,시흥대로50길,금천구,시흥1동
13499.0,금하로25길,금천구,시흥5동
13500.0,금하로_C,금천구,시흥1동
13503.0,시흥대로_M,금천구,시흥3동
13505.0,화랑로11길,성북구,월곡2동
13506.0,화곡로_L,강서구,화곡3동
13507.0,길음로_B,성북구,길음1동
13508.0,동숭길,종로구,이화동
