date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,totalFacility,totalNearFacility,sales
201708.0,12171.0,CS100008,0.36148648648648646,0.1804123711340206,0.6631679389312977,0.8133995037220845,0.7320261437908497,0.5391476709613479,0.657391304347826,0.8869644484958978,0.7082658022690439,0.28725314183123873,0.28725314183123873,0.6407119021134593,0.6227657572906867,0.8641526578827805,0.18443804034582123,0.28725314183123873,0.5372340425531915,17.21
201708.0,12172.0,CS100008,0.2888513513513513,0.1804123711340206,0.6507633587786259,0.8203473945409431,0.7073347857661584,0.5500495540138751,0.5,0.7958067456700091,0.66612641815235,0.3052064631956912,0.3052064631956912,0.4182424916573971,0.49670743179680155,0.720127214902317,0.18155619596541772,0.3052064631956912,0.5691489361702128,15.32
201708.0,12176.0,CS100008,0.36148648648648646,0.0,0.6994274809160305,0.7801488833746899,0.6782861292665214,0.4469772051536174,0.5556521739130434,0.7657247037374658,0.6985413290113452,0.3626570915619389,0.3626570915619389,0.5561735261401557,0.5587958607714018,0.8150840527033166,0.19596541786743504,0.3626570915619389,0.6117021276595745,17.1
201708.0,12178.0,CS100008,0.46283783783783783,0.23711340206185566,0.7337786259541984,0.7910669975186104,0.7400145243282499,0.5857284440039643,0.4260869565217391,0.6235186873290792,0.726094003241491,0.43985637342908435,0.43985637342908435,0.8787541713014461,0.5766698024459078,0.9491140390731485,0.27665706051873196,0.43985637342908435,0.7154255319148936,14.79
201708.0,12181.0,CS100008,0.4273648648648649,0.10567010309278352,0.640267175572519,0.7781637717121589,0.7044299201161947,0.4955401387512388,0.397391304347826,0.7930720145852324,0.7196110210696919,0.2836624775583483,0.2836624775583483,0.8186874304783092,0.5606773283160865,0.9223080417991821,0.1556195965417868,0.2836624775583483,0.5824468085106383,14.74
201708.0,12436.0,CS100008,0.2888513513513513,0.0,0.5286259541984732,0.8163771712158809,0.701525054466231,0.4350842418235877,0.6121739130434782,0.8058340929808568,0.7309562398703403,0.6301615798922802,0.6301615798922802,0.8375973303670745,0.5870178739416745,0.9418446160835983,0.19308357348703153,0.6301615798922802,0.526595744680851,17.79
201708.0,12398.0,CS100008,0.2888513513513513,0.0,0.6498091603053434,0.8094292803970223,0.6891793754538853,0.5411298315163529,0.39391304347826084,0.7575205104831358,0.7147487844408428,0.5583482944344704,0.5583482944344704,0.7352614015572858,0.6698024459078081,0.9173103134938664,0.5417867435158501,0.5583482944344704,0.6196808510638298,15.44
201708.0,12400.0,CS100008,0.39020270270270274,0.0,0.6326335877862594,0.826302729528536,0.7741466957153232,0.1774033696729435,0.040869565217391296,0.8167730173199635,0.8379254457050241,0.52064631956912,0.52064631956912,0.7185761957730812,0.5766698024459078,0.8995910949568378,0.7723342939481264,0.52064631956912,0.6675531914893619,12.63
201708.0,12732.0,CS100008,0.36148648648648646,0.0,0.6736641221374045,0.8357320099255584,0.7741466957153232,0.2804757185332012,0.5478260869565217,0.8249772105742935,0.7763371150729336,0.876122082585278,0.876122082585278,0.7586206896551724,0.6067732831608655,0.9241253975465696,0.3688760806916427,0.876122082585278,0.63031914893617,16.76
201708.0,12733.0,CS100008,0.4054054054054054,0.10567010309278352,0.6564885496183206,0.8292803970223326,0.7901234567901235,0.29732408325074333,0.5643478260869564,0.7839562443026434,0.758508914100486,0.3895870736086178,0.3895870736086178,0.8798665183537263,0.5851364063969896,0.9572921399363925,0.3141210374639769,0.3895870736086178,0.6888297872340426,16.4
201708.0,12734.0,CS100008,0.4138513513513513,0.23711340206185566,0.6249999999999999,0.8014888337468983,0.7436456063907045,0.44598612487611494,0.6730434782608695,0.8340929808568823,0.8298217179902755,0.23877917414721717,0.23877917414721717,0.6084538375973303,0.5155221072436501,0.756474329850068,0.26512968299711814,0.23877917414721717,0.5026595744680852,16.91
201708.0,12735.0,CS100008,0.4273648648648649,0.0,0.6631679389312977,0.8133995037220845,0.775599128540305,0.13776015857284438,0.1008695652173913,0.788514129443938,0.79902755267423,0.4416517055655296,0.4416517055655296,0.8553948832035595,0.6284101599247413,0.942753293957292,0.3429394812680113,0.4416517055655296,0.5851063829787234,12.5
201708.0,12595.0,CS100008,0.44594594594594594,0.1804123711340206,0.6765267175572518,0.8312655086848636,0.8010167029774873,0.5084241823587711,0.6513043478260869,0.6800364630811303,0.7844408427876822,0.35008976660682234,0.35008976660682234,0.7185761957730812,0.9040451552210724,0.902771467514766,0.3948126801152736,0.35008976660682234,0.6861702127659574,16.99
201708.0,12597.0,CS100008,0.3716216216216216,0.10567010309278352,0.6211832061068702,0.8069478908188586,0.7407407407407407,0.5550049554013875,0.4852173913043478,0.8468550592525067,0.7698541329011345,0.4919210053859966,0.4919210053859966,0.7241379310344827,0.5682031984948259,0.894139027714675,0.10662824207492805,0.4919210053859966,0.5132978723404257,15.64
201708.0,11947.0,CS100008,0.39695945945945943,0.10567010309278352,0.6202290076335877,0.822332506203474,0.7850399419026871,0.4350842418235877,0.64,0.8085688240656335,0.8152350081037277,0.7378815080789944,0.7378815080789944,0.6329254727474972,0.6622765757290686,0.8482507950931395,0.35158501440922163,0.7378815080789944,0.6436170212765958,17.37
