,areaCode,serviceCode,sales,percentage,class
6240,12891.0,CS100005,14921564.897396844,0.30393700787401573,good
6241,12892.0,CS100005,8877377.48936982,0.5454545454545454,good
6242,13132.0,CS100005,39759441.47542697,0.05168217609162491,very_good
6243,13133.0,CS100005,9146474.604799422,0.5321403006442377,good
6244,13134.0,CS100005,12541209.913097613,0.3876879026485326,good
6245,13140.0,CS100005,4312688.120691108,0.8090193271295634,not_good
6246,13146.0,CS100005,1505746.5086738474,0.9534717251252685,bad
6247,13147.0,CS100005,1839979.9998802706,0.9401574803149606,not_good
6248,13380.0,CS100005,1106121.5190877405,0.9703650680028633,bad
6249,13381.0,CS100005,22197523.98495242,0.16349319971367215,good
6250,13382.0,CS100005,6304219.234453109,0.6907659269863994,not_good
6251,13383.0,CS100005,23664849.741359938,0.14688618468146028,very_good
6252,13384.0,CS100005,6922490.80178223,0.6536864710093057,bad
6253,13385.0,CS100005,2243393.5925435023,0.9209735146743021,bad
6254,13387.0,CS100005,3180478.223879378,0.8732999284180386,not_good
6255,13389.0,CS100005,2001222.6429290103,0.9337151037938439,bad
6256,13390.0,CS100005,15486748.28153335,0.29047959914101645,good
6257,13391.0,CS100005,2389971.4754183115,0.913242662848962,bad
6258,12893.0,CS100005,9605406.292983009,0.5130994989262706,good
6259,12899.0,CS100005,5029850.784696696,0.768790264853257,not_good
6260,12900.0,CS100005,11329602.242347158,0.43622047244094486,not_good
6261,12901.0,CS100005,18319520.52531554,0.22304939155332856,good
6262,12903.0,CS100005,8730704.372035418,0.552755905511811,not_good
6263,12904.0,CS100005,27641877.477335,0.10837508947745168,very_good
6264,12906.0,CS100005,8149899.592863387,0.5866857551896922,not_good
6265,12911.0,CS100005,7924767.970595221,0.6018611309949893,not_good
6266,13148.0,CS100005,6365283.714787821,0.6867573371510379,not_good
6267,12917.0,CS100005,11946199.296897152,0.4087329992841804,not_good
6268,12919.0,CS100005,1231728.497137385,0.9654974946313529,bad
6269,12924.0,CS100005,2455819.31853543,0.9105225483178239,bad
6270,12925.0,CS100005,1300391.8779035297,0.9626342161775233,bad
6271,12926.0,CS100005,4335852.464789498,0.8071581961345741,bad
6272,12929.0,CS100005,39740.303839098495,0.999713672154617,bad
6273,12930.0,CS100005,5086467.564340426,0.7649248389405869,not_good
6274,13162.0,CS100005,11617197.035578327,0.4226198997852541,not_good
6275,13163.0,CS100005,408531.04754348367,0.9905511811023622,bad
6276,12994.0,CS100005,14864262.949838944,0.30551181102362207,good
6277,12996.0,CS100005,19098266.456956778,0.20658554044380817,good
6278,12998.0,CS100005,5102413.630686964,0.764352183249821,not_good
6279,12999.0,CS100005,1683515.771256137,0.9471725125268432,bad
6280,13237.0,CS100005,1532294.2676681997,0.952469577666428,bad
6281,13238.0,CS100005,9977553.056780625,0.4963493199713672,not_good
6282,13239.0,CS100005,10731676.148384627,0.4617036506800286,not_good
6283,13257.0,CS100005,1193695.2698107709,0.9664996420901932,bad
6284,13259.0,CS100005,29357085.836988017,0.09534717251252685,good
6285,13261.0,CS100005,2937380.851044784,0.8857551896921976,bad
6286,13265.0,CS100005,1726010.399707352,0.9457408732999284,bad
6287,13439.0,CS100005,5829982.955156189,0.7201145311381532,not_good
6288,13440.0,CS100005,10428028.130883375,0.47573371510379386,not_good
6289,13483.0,CS100005,15111304.822555589,0.30007158196134576,good
6290,13484.0,CS100005,1068752.9703779777,0.9715103793843951,bad
6291,13487.0,CS100005,4431545.555370383,0.8018611309949892,bad
6292,13488.0,CS100005,5031848.40295825,0.7686471009305655,not_good
6293,13489.0,CS100005,5463734.742114476,0.7414459556191839,not_good
6294,13168.0,CS100005,5254693.210428933,0.7549033643521833,not_good
6295,13169.0,CS100005,2811042.271626495,0.8913385826771654,bad
6296,13170.0,CS100005,5718334.1210338045,0.7271295633500358,not_good
6297,13173.0,CS100005,10260327.460003708,0.4838940586972083,not_good
6298,13174.0,CS100005,3212625.1917734416,0.8710093056549749,bad
6299,13175.0,CS100005,3591459.2169187535,0.8498210450966357,bad
6300,13176.0,CS100005,6689657.275976497,0.6658554044380816,not_good
6301,13410.0,CS100005,7274534.1442547925,0.6330708661417322,not_good
6302,13411.0,CS100005,11249637.987596119,0.4399427344309234,not_good
6303,13413.0,CS100005,1595951.4909841723,0.9498926270579814,bad
6304,13539.0,CS100005,22506670.810614113,0.15948460987831067,good
6305,13540.0,CS100005,8877398.086206555,0.545311381531854,not_good
6306,13541.0,CS100005,908003.1502006226,0.9773801002147459,bad
6307,13542.0,CS100005,6322783.068363959,0.6887616320687187,not_good
6308,13543.0,CS100005,5576812.193224447,0.7344309234073013,not_good
6309,13544.0,CS100005,1286491.7142995978,0.9633500357909807,bad
6310,13545.0,CS100005,13373915.482381433,0.35676449534717253,good
6311,12933.0,CS100005,11953918.654260049,0.4084466714387974,good
6312,12934.0,CS100005,15708058.255883735,0.28418038654259126,good
6313,12935.0,CS100005,8423146.215964567,0.571796707229778,not_good
6314,12936.0,CS100005,16444106.391530365,0.2648532569792412,good
6315,12938.0,CS100005,6620866.276942499,0.6700071581961345,not_good
6316,12939.0,CS100005,10301807.896207813,0.4818897637795276,good
6317,12941.0,CS100005,13211219.814680101,0.3633500357909807,good
6318,12943.0,CS100005,5257738.423498977,0.7547602004294918,not_good
6319,13177.0,CS100005,3128428.5483746696,0.8753042233357194,not_good
6320,13180.0,CS100005,16934833.06963599,0.25425912670007156,good
6321,13328.0,CS100005,1846163.071039539,0.9398711524695776,bad
6322,13329.0,CS100005,1798775.2072846335,0.9420186113099499,bad
6323,13330.0,CS100005,5828317.264939531,0.7205440229062277,not_good
6324,13232.0,CS100005,4492683.644759088,0.7988546886184682,bad
6325,13233.0,CS100005,16935355.5688366,0.2541159627773801,good
6326,13236.0,CS100005,49126217.916015655,0.02963493199713672,good
6327,13547.0,CS100005,3824208.028359433,0.8377952755905512,not_good
6328,13550.0,CS100005,5881825.469794864,0.7181102362204724,bad
6329,13551.0,CS100005,2909497.8739027246,0.8871868289191124,bad
6330,13553.0,CS100005,13670125.849914487,0.3467430207587688,good
6331,13473.0,CS100005,6355186.771475359,0.6874731567644954,not_good
6332,13475.0,CS100005,13127455.67938554,0.3654974946313529,good
6333,13477.0,CS100005,14623640.542628365,0.3129563350035791,good
6334,13478.0,CS100005,11585948.729039086,0.423478883321403,not_good
